marker_id	stage	branch	module	gene	enzyme	ec	pfam	ncbifam_tigrfam	tier	notes	scoring
MEG-CORE:mcrA	methanogenesis	core	MEG-CORE	mcrA	methyl-CoM reductase alpha	2.8.4.1	PF02249;PF02745	TIGR03256	core	MASTER MARKER. Present in ALL methanogens + ANME. Quantify + phylo-bin to ID methanogen type.	scored
MEG-CORE:mcrB	methanogenesis	core	MEG-CORE	mcrB	methyl-CoM reductase beta	2.8.4.1	PF02241;PF02783	TIGR03257	core		scored
MEG-CORE:mcrG	methanogenesis	core	MEG-CORE	mcrG	methyl-CoM reductase gamma	2.8.4.1	PF02240	TIGR03259	core	Accession corrected 2026-08-07: TIGR03258 was 2-aminoethylphosphonate ABC transporter PhnT, not mcrG.	scored
MEG-CORE:mcrC	methanogenesis	core	MEG-CORE	mcrC	McrC (assembly/activation)	—	PF04210	TIGR03264	accessory	Methyl-CoM reductase operon protein C. Pinned: mcrC also matches NF007277 McrBC restriction endonuclease.	scored
MEG-CORE:mcrD	methanogenesis	core	MEG-CORE	mcrD	McrD (assembly)	—	PF03296	—	accessory		scored
MEG-CORE:hdrA	methanogenesis	core	MEG-CORE	hdrA	heterodisulfide reductase A	1.8.98.1	PF02662	NF041778; NF041891	core	CoM-S-S-CoB recycling; electron bifurcation with Mvh. Ferredoxin:CoB-CoM heterodisulfide reductase HdrA. Pinned: hdrA also matches NF041386 dihydrofolate reductase.	scored
MEG-CORE:hdrB	methanogenesis	core	MEG-CORE	hdrB	heterodisulfide reductase B	1.8.98.1	PF02754	—	core	CCG domain (x2).	scored
MEG-CORE:hdrC	methanogenesis	core	MEG-CORE	hdrC	heterodisulfide reductase C	1.8.98.1	PF13183;PF13534	—	accessory		scored
MEG-CORE:mvhA	methanogenesis	core	MEG-CORE	mvhA	F420-non-reducing hydrogenase (large)	1.8.98.5	PF00374	—	core	Hydrogenotrophic electron input via Mvh-Hdr. Investigated 2026-08-08: No usable model in NCBIfam r2026-08. PF00374 wrapper (NF012592.7) not shipped. NF041785 vhuA is the right enzyme (F420-non-reducing hydrogenase large subunit) but is a Methanococcales-restricted equivalog at 800 bits — digesters are dominated by Methanoculleus/Methanothermobacter/Methanobacterium, so it would return false negatives. NF033181 is Bacteria-restricted. No methanogen-range Mvh/Vhu subunit-A model exists. Needs Pfam-A directly, and PF00374 spans all [NiFe] hydrogenase large subunits (Ech, Frh, Vht) so it would not be MvhA-specific.	scored
MEG-HYDRO:fwdB	methanogenesis	hydrogenotrophic	MEG-HYDRO	fwdB/fmdB	formylmethanofuran dehydrogenase (Mo/W subunit)	1.2.7.12	PF01568;PF00384	TIGR03129	core	CO2 -> formyl-MFR (first reductive step). Formylmethanofuran dehydrogenase subunit B = the Mo/W subunit this row describes. Was present in the DB all along but mislabelled fmdA: EC 1.2.7.12 is shared by subunits A/B/C and the EC path labels every model with one arbitrary gene name.	scored
MEG-HYDRO:fwdA	methanogenesis	hydrogenotrophic	MEG-HYDRO	fwdA/fmdA	formylmethanofuran dehydrogenase A	1.2.7.12	PF01493	TIGR03121	accessory	Formylmethanofuran dehydrogenase subunit A. Pinned to stop the gene_symbol path matching NF045496 formamidase, an unrelated enzyme that genuinely carries the symbol fmdA.	scored
MEG-HYDRO:ftr	methanogenesis	hydrogenotrophic	MEG-HYDRO	ftr	formyl-MFR:H4MPT formyltransferase	2.3.1.101	PF01913;PF02741	TIGR03119	core	formyl-MFR -> formyl-H4MPT.	scored
MEG-HYDRO:mch	methanogenesis	hydrogenotrophic	MEG-HYDRO	mch	methenyl-H4MPT cyclohydrolase	3.5.4.27	PF02289	TIGR03120	core	Accession corrected 2026-08-07: TIGR03211 was catechol 2,3-dioxygenase, not mch.	scored
MEG-HYDRO:mtd	methanogenesis	hydrogenotrophic	MEG-HYDRO	mtd	F420-dep methylene-H4MPT dehydrogenase	1.5.98.1	PF01993	NF002162	core	PRK00994 equivalog, F420-dep methylene-H4MPT dehydrogenase. NCBIfam has no gene_symbol=mtd and annotates no model with EC 1.5.98.1, so neither match path could ever fire; the PfamEq model for PF01993 (NF014095.8) is not shipped in this release.	scored
MEG-HYDRO:hmd	methanogenesis	hydrogenotrophic	MEG-HYDRO	hmd	H2-forming methylene-H4MPT dehydrogenase	1.12.98.2	PF03201	—	accessory	Alternative to mtd under Ni limitation.	scored
MEG-HYDRO:mer	methanogenesis	hydrogenotrophic	MEG-HYDRO	mer	F420-dep methylene-H4MPT reductase	1.5.98.2	PF00296	TIGR03555	core		scored
MEG-HYDRO:frhA	methanogenesis	hydrogenotrophic	MEG-HYDRO	frhA	F420-reducing [NiFe]-hydrogenase (large)	1.12.98.1	PF00374	—	core	Regenerates reduced F420 from H2.	scored
MEG-HYDRO:frhB	methanogenesis	hydrogenotrophic	MEG-HYDRO	frhB	F420-reducing hydrogenase (F420-binding)	1.12.98.1	PF04432	—	accessory		scored
MEG-CORE:mtrA	methanogenesis	common-methyl	MEG-CORE	mtrA	N5-methyl-H4MPT:CoM methyltransferase A	2.1.1.86	PF03599	TIGR01111	core	Membrane Na+-pumping complex; methyl-H4MPT -> methyl-CoM. Shared by hydrogenotrophic+acetoclastic. Accession corrected 2026-08-07: TIGR01005 was exopolysaccharide transport protein, not mtrA.	scored
MEG-CORE:mtrH	methanogenesis	common-methyl	MEG-CORE	mtrH	methyl-H4MPT:CoM methyltransferase H	2.1.1.86	PF01571	—	core		scored
MEG-ACETO:acs	methanogenesis	acetoclastic	MEG-ACETO	acs	acetyl-CoA synthetase (AMP-forming)	6.2.1.1	PF00501;PF13193	—	core	Methanothrix/Methanosaeta acetate activation (high-affinity).	scored
MEG-ACETO:ackA	methanogenesis	acetoclastic	MEG-ACETO	ackA	acetate kinase	2.7.2.1	PF00871	—	core	"Methanosarcina acetate activation (low-affinity). Split from a combined ackA+pta row: both tokens resolved to one marker, so the acetoclastic gate’s ""ackA AND pta"" was satisfied by either enzyme alone."	scored
MEG-ACETO:pta	methanogenesis	acetoclastic	MEG-ACETO	pta	phosphotransacetylase	2.3.1.8	PF01515	TIGR00651; NF004167; NF008852	core	"Methanosarcina acetate activation (low-affinity). Split from a combined ackA+pta row: both tokens resolved to one marker, so the acetoclastic gate’s ""ackA AND pta"" was satisfied by either enzyme alone. Pinned to housekeeping Pta (TIGR00651 equivalog, PRK05632, PRK11890), excluding NF040837 EutD. EutD is the ethanolamine-utilisation paralog: same reaction, but a dedicated eut-operon enzyme acting inside bacterial microcompartments during growth on ethanolamine, not general acetate metabolism. NCBIfam separates the two at the model level, so no genomic-context analysis is needed -- EC 2.3.1.8 alone merged them. EutD is Bacillota-restricted; this module is archaeal methanogenesis."	scored
MEG-ACETO:cdhA	methanogenesis	acetoclastic	MEG-ACETO	cdhA	CO dehydrogenase/acetyl-CoA decarbonylase, alpha	1.2.7.4	PF03063	—	core	ACDS complex: acetyl-CoA -> CH3(->H4MPT) + CO(->CO2) + CoA.	scored
MEG-ACETO:cdhC	methanogenesis	acetoclastic	MEG-ACETO	cdhC	ACDS beta (acetyl-CoA synthase)	2.3.1.169	PF03598	—	core		scored
MEG-ACETO:cdhE	methanogenesis	acetoclastic	MEG-ACETO	cdhE/cdhD	ACDS corrinoid (delta/gamma)	2.1.1.245	PF00198;PF02607	—	accessory		scored
MEG-METHYL:mtaB	methanogenesis	methylotrophic	MEG-METHYL	mtaB	methanol:corrinoid methyltransferase	2.1.1.90	PF12176	NF040651	core	Methanol utilisation (Methanosarcina, Methanomethylophilus). Methanol--corrinoid co-methyltransferase MtaB. Pinned: mtaB also matches TIGR01579 tRNA methylthiotransferase, widespread in bacteria -- and mtaB gates methylotrophic methanogenesis.	scored
MEG-METHYL:mtaC	methanogenesis	methylotrophic	MEG-METHYL	mtaC	methanol corrinoid protein	—	PF02310	—	accessory		scored
MEG-METHYL:mtaA	methanogenesis	methylotrophic	MEG-METHYL	mtaA	methylcobalamin:CoM methyltransferase	2.1.1.246	PF03291	—	accessory		scored
MEG-METHYL:mttB	methanogenesis	methylotrophic	MEG-METHYL	mttB	trimethylamine methyltransferase	2.1.1.250	PF06253	—	core	MttB superfamily (pyrrolysine). Marker of methylamine methanogenesis.	scored
MEG-METHYL:mtbB	methanogenesis	methylotrophic	MEG-METHYL	mtbB	dimethylamine methyltransferase	2.1.1.249	PF06253	—	accessory		scored
MEG-METHYL:mtmB	methanogenesis	methylotrophic	MEG-METHYL	mtmB	monomethylamine methyltransferase	2.1.1.248	PF06253	—	accessory		scored
MEG-METHYL:mtsA	methanogenesis	methylotrophic	MEG-METHYL	mtsA	methylthiol:CoM methyltransferase	2.1.1.-	PF03291	—	accessory	Dimethylsulfide utilisation.	scored
MEG-METHYL:comMT	methanogenesis	methylotrophic	MEG-METHYL	MT2	methylcobalamin:CoM methyltransferase (MT2 family)	—	—	NF004889	core	Terminal methyl-transfer step shared by ALL methylotrophic routes, so it detects methylotrophy without naming the substrate. Added because 7 mcrA+ MAGs in the PRJNA602310 catalogue (Methanofastidiosia, Thermoplasmatales) got no route at all: they are obligate methylotrophs that genuinely lack the H4MPT C1 pathway, and their substrate-specific methyltransferases have no licence-clean model (mtsA and mtmB both unresolvable in this NCBIfam release). WARNING: NF004889 is a subfamily-level model and is NOT specific on its own -- it hits 30 bacteria in that catalogue (Clostridiaceae, Fibrobacter, Syntrophomonadaceae). It is only safe because the methylotrophic gate also requires mcrA, which bacteria lack. Never use this marker outside that gate, and never drop the mcrA term. Within mcrA+ genomes it discriminated perfectly: 16/16 hits were methylotrophs (9 already called + the 7 gap), and no hydrogenotroph-only or acetoclastic-only methanogen was hit.	scored
ENERGY:echA	energy	conservation	ENERGY	echA-F	energy-converting hydrogenase (Ech)	—	PF00146;PF00361	—	accessory	Ferredoxin-dependent H2; energy conservation.	scored
ENERGY:fpoA	energy	conservation	ENERGY	fpoA-N	F420H2:methanophenazine oxidoreductase (Fpo)	—	PF00146;PF00361	—	accessory	Complex-I-like; Methanosarcina.	scored
ENERGY:rnfA	energy	conservation	ENERGY	rnfA-G	Rnf complex	7.2.1.2	PF02508;PF04060	—	accessory	Ferredoxin:NAD oxidoreductase, ion pumping.	scored
ENERGY:ahaA	energy	conservation	ENERGY	ahaA/atpA	A1Ao ATP synthase	7.1.2.2	PF00006;PF00231	TIGR01043; TIGR01041	accessory	"A1Ao catalytic subunit A (TIGR01043) + archaeal subunit B (TIGR01041), both equivalog. Pinned: EC 7.1.2.2 covers every subunit of F-, V- and A-type ATP synthases (120 models). Note the naming inversion — in A/V-type ""subunit A"" is catalytic, in F0F1 ""subunit A"" (atpB) is membrane."	scored
DIET:omcS	syntrophy	DIET	DIET	omcS/mhc	multiheme c-type cytochrome	—	PF13442;PF14537	—	accessory	Direct interspecies electron transfer (Geobacter<->Methanothrix/Methanosarcina).	scored
DIET:pilA	syntrophy	DIET	DIET	pilA	type-IV pilin (e-pili)	—	PF00114	—	accessory	Conductive pili for DIET.	scored
